symbol,side,lev,entry,close,pnl,opened,closed,move_pct
SNDKUSDT,LONG,20,1327.00638,1417.1759,6628.0,2026-07-17,2026-07-18,6.794957534416671
ETHUSDT,SHORT,15,1562.37,1552.97,4991.28,2026-06-26,2026-06-30,0.6016500572847574
ETHUSDT,SHORT,10,1842.8,1768.26,53535.77,2026-06-15,2026-06-16,4.044931625786844
ETHUSDT,LONG,15,1906.2,1935.0,775.69,2026-06-03,2026-06-03,1.5108593012275708
ETHUSDT,LONG,10,1904.61,1929.021,59758.94,2026-06-02,2026-06-02,1.2816797139571912
ETHUSDT,LONG,10,1973.58,1989.56,8190.56,2026-05-28,2026-05-28,0.8096960852866375
BTCUSDT,LONG,10,74925.9,75184.2,1928.27,2026-05-27,2026-05-27,0.3447406037164758
BTCUSDT,LONG,10,74380.0,75010.2,16700.15,2026-05-23,2026-05-23,0.8472707717128221
ETHUSDT,LONG,10,2067.28,2073.58,4514.02,2026-05-23,2026-05-23,0.3047482682558592
BTCUSDT,SHORT,10,77904.5,,1924.7,2026-05-21,2026-05-21,
BTCUSDT,LONG,10,76200.0,77421.2,3154.07,2026-05-19,2026-05-20,1.6026246719160067
BTCUSDT,LONG,10,76247.41,76716.97,11033.68,2026-05-18,2026-05-19,0.6158373117198311
ETHUSDT,SHORT,10,2304.66,2264.09,1391.78,2026-05-14,2026-05-16,1.7603464285404231
BTCUSDT,SHORT,10,81039.62,79463.67,12436.06,2026-05-14,2026-05-16,1.9446660781479446
BTCUSDT,SHORT,10,80219.36,,16814.86,2026-05-01,2026-05-14,
ETHUSDT,SHORT,10,2252.66,2217.6,33634.05,2026-04-08,2026-04-08,1.556382232560615
ETHUSDT,SHORT,10,2130.2,2087.39,1101.9,2026-04-07,2026-04-07,2.0096704534785443
ETHUSDT,SHORT,10,2151.34,2089.0,31232.58,2026-04-06,2026-04-07,2.897728857363324
ETHUSDT,SHORT,10,2060.33,2049.5,2371.54,2026-04-02,2026-04-03,0.5256439502409773
