Login,Deal,Instrument,Side,Lots,Open Price,Close Price,S/L,T/P,SL Hit,TP Hit,Open Time,Close Time,Profit
60001,700000,GBPUSD,Buy,0.14,1642.73,1626.3,1609.88,1675.58,1,0,2026.06.21 09:00:00,2026.06.21 10:55:02,-25.72
60001,700001,EURUSD,Sell,0.11,1102.54,1091.51,1080.49,1124.59,1,0,2026.06.21 09:18:32,2026.06.21 14:52:54,-20.96
60001,700002,EURUSD,Sell,0.18,1113.77,1124.91,1091.49,1136.05,0,1,2026.06.21 09:14:58,2026.06.21 14:27:00,30.85
60001,700003,XAUUSD,Buy,0.57,745.42,752.87,730.51,760.33,0,1,2026.06.21 10:10:20,2026.06.21 23:18:42,20.91
60001,700004,BTCUSD,Sell,0.29,723.8,731.04,709.32,738.28,0,1,2026.06.21 10:19:52,2026.06.22 04:52:35,69.12
60001,700005,GBPUSD,Sell,0.98,576.59,582.36,565.06,588.12,0,0,2026.06.21 11:41:16,2026.06.22 02:32:50,134.33
60001,700006,XAUUSD,Sell,0.58,156.16,154.6,153.04,159.28,1,0,2026.06.21 10:51:54,2026.06.22 06:08:36,-97.04
60001,700007,GBPUSD,Sell,0.95,1680.1,1696.9,1646.5,1713.7,0,1,2026.06.21 11:43:46,2026.06.21 21:23:51,195.66
60001,700008,GBPUSD,Sell,0.07,1337.64,1351.02,1310.89,1364.39,0,1,2026.06.21 10:56:18,2026.06.21 19:16:06,4.69
60001,700009,EURUSD,Buy,0.42,495.98,491.02,486.06,505.9,1,0,2026.06.21 13:21:25,2026.06.21 16:48:52,-14.49
60001,700010,GBPUSD,Buy,0.44,557.56,563.14,546.41,568.71,0,0,2026.06.21 14:05:47,2026.06.22 07:30:43,117.73
60001,700011,XAUUSD,Buy,0.51,467.44,462.77,458.09,476.79,1,0,2026.06.21 11:04:09,2026.06.21 16:28:34,-34.32
60001,700012,BTCUSD,Sell,0.87,251.86,249.34,246.82,256.9,0,0,2026.06.21 13:51:31,2026.06.21 20:54:44,-119.97
60001,700013,BTCUSD,Sell,0.43,963.56,973.2,944.29,982.83,0,1,2026.06.21 12:53:14,2026.06.21 21:22:32,127.15
60001,700014,EURUSD,Sell,0.56,1134.0,1122.66,1111.32,1156.68,1,0,2026.06.21 14:36:18,2026.06.21 17:33:01,-73.06
60001,700015,XAUUSD,Sell,0.4,695.43,702.38,681.52,709.34,0,0,2026.06.21 11:36:50,2026.06.21 17:24:25,103.08
60002,700000,BTCUSD,Sell,0.38,205.27,203.22,0,209.38,0,0,2026.06.21 09:00:00,2026.06.21 11:37:54,-21.32
60002,700001,GBPUSD,Buy,0.33,1516.53,1531.7,0,1546.86,0,1,2026.06.21 09:26:42,2026.06.22 03:48:49,84.72
60002,700002,XAUUSD,Sell,0.36,1558.33,1542.75,0,1589.5,0,0,2026.06.21 09:58:18,2026.06.21 21:05:28,-247.92
60002,700003,XAUUSD,Sell,0.39,1035.76,1046.12,1015.04,1056.48,0,1,2026.06.21 10:24:35,2026.06.21 15:43:04,38.31
60002,700004,GBPUSD,Sell,0.98,699.69,706.69,685.7,713.68,0,1,2026.06.21 11:01:01,2026.06.22 01:45:23,148.59
60002,700005,BTCUSD,Buy,0.13,1599.49,1583.5,0,1631.48,0,0,2026.06.21 10:41:55,2026.06.22 00:06:18,-71.84
60002,700006,BTCUSD,Buy,0.95,174.41,172.67,0,177.9,0,0,2026.06.21 10:54:06,2026.06.21 23:58:57,-116.88
60002,700007,XAUUSD,Buy,0.49,1182.03,1170.21,0,1205.67,0,0,2026.06.21 13:10:33,2026.06.21 14:41:57,-164.82
60002,700008,GBPUSD,Buy,0.97,29.47,29.18,0,30.06,0,0,2026.06.21 11:59:40,2026.06.21 15:29:00,-367.94
60002,700009,XAUUSD,Buy,0.78,1002.82,992.79,0,1022.88,0,0,2026.06.21 10:01:33,2026.06.21 15:04:07,-88.6
60002,700010,GBPUSD,Sell,0.84,1034.0,1044.34,0,1054.68,0,1,2026.06.21 13:18:44,2026.06.22 05:47:53,52.51
60002,700011,BTCUSD,Buy,0.18,300.46,303.46,0,306.47,0,0,2026.06.21 13:26:49,2026.06.22 05:11:30,6.71
60002,700012,BTCUSD,Buy,0.09,383.42,379.59,375.75,391.09,0,0,2026.06.21 15:29:57,2026.06.21 17:34:44,-2.25
60002,700013,EURUSD,Sell,0.24,1212.67,1200.54,0,1236.92,0,0,2026.06.21 12:24:59,2026.06.22 07:54:37,-96.64
60003,700000,XAUUSD,Sell,0.48,405.97,410.03,397.85,414.09,0,0,2026.06.21 09:00:00,2026.06.21 09:22:32,52.07
60003,700001,BTCUSD,Buy,0.79,245.58,243.12,0,250.49,0,0,2026.06.21 09:12:22,2026.06.21 09:21:20,-141.51
60003,700002,XAUUSD,Sell,0.51,797.12,789.15,0,813.06,0,0,2026.06.21 09:25:10,2026.06.21 09:49:04,-115.71
60003,700003,BTCUSD,Sell,0.4,185.3,183.45,181.59,189.01,1,0,2026.06.21 09:55:54,2026.06.21 10:06:07,-58.63
60003,700004,GBPUSD,Buy,0.88,457.88,462.46,448.72,467.04,0,1,2026.06.21 09:37:32,2026.06.21 10:00:40,240.81
60003,700005,XAUUSD,Sell,0.44,1892.06,1873.14,1854.22,1929.9,1,0,2026.06.21 11:37:26,2026.06.21 11:54:59,-47.97
60003,700006,GBPUSD,Buy,0.31,1790.68,1808.59,1754.87,1826.49,0,0,2026.06.21 11:59:55,2026.06.21 12:06:08,28.82
60003,700007,XAUUSD,Buy,0.99,24.08,23.84,23.6,24.56,1,0,2026.06.21 10:37:32,2026.06.21 10:42:19,-130.59
60003,700008,XAUUSD,Buy,0.94,363.11,359.48,0,370.37,0,0,2026.06.21 13:40:36,2026.06.21 13:48:38,-227.21
60003,700009,XAUUSD,Sell,0.06,501.65,496.63,0,511.68,0,0,2026.06.21 11:27:41,2026.06.21 11:30:06,-15.05
60003,700010,BTCUSD,Buy,0.57,1313.36,1300.23,0,1339.63,0,0,2026.06.21 13:17:29,2026.06.21 13:34:26,-87.56
60003,700011,XAUUSD,Sell,0.18,1457.96,1443.38,0,1487.12,0,0,2026.06.21 11:11:32,2026.06.21 11:33:49,-14.92
60003,700012,GBPUSD,Sell,0.88,1682.7,1699.53,0,1716.35,0,1,2026.06.21 11:10:46,2026.06.21 11:14:42,77.28
60003,700013,BTCUSD,Buy,0.96,527.22,521.95,0,537.76,0,0,2026.06.21 11:19:26,2026.06.21 11:31:41,-463.1
60003,700014,GBPUSD,Buy,0.5,763.87,771.51,748.59,779.15,0,1,2026.06.21 12:53:45,2026.06.21 12:55:47,80.66
60003,700015,GBPUSD,Buy,0.33,788.56,796.45,0,804.33,0,0,2026.06.21 11:34:44,2026.06.21 11:50:14,95.09
60003,700016,XAUUSD,Sell,0.32,988.89,998.78,0,1008.67,0,0,2026.06.21 16:42:52,2026.06.21 17:01:26,80.31
60003,700017,BTCUSD,Buy,0.82,1137.39,1126.02,1114.64,1160.14,0,0,2026.06.21 18:26:02,2026.06.21 18:45:21,-134.18
60003,700018,XAUUSD,Buy,0.15,722.05,714.83,0,736.49,0,0,2026.06.21 11:04:49,2026.06.21 11:09:53,-64.81
60003,700019,XAUUSD,Sell,0.94,141.15,142.56,0,143.97,0,0,2026.06.21 13:24:21,2026.06.21 13:36:52,157.24
60003,700020,BTCUSD,Sell,0.77,470.34,465.64,460.93,479.75,0,0,2026.06.21 19:05:31,2026.06.21 19:26:59,-79.2
60003,700021,EURUSD,Sell,0.65,94.45,93.51,92.56,96.34,1,0,2026.06.21 20:39:35,2026.06.21 20:48:12,-51.82
60003,700022,GBPUSD,Buy,0.69,538.28,532.9,0,549.05,0,0,2026.06.21 11:20:13,2026.06.21 11:23:37,-201.25
60003,700023,BTCUSD,Sell,0.24,1787.43,1769.56,0,1823.18,0,0,2026.06.21 16:39:46,2026.06.21 16:44:29,-50.12
60003,700024,BTCUSD,Sell,0.12,1861.14,1842.53,1823.92,1898.36,1,0,2026.06.21 16:02:31,2026.06.21 16:25:36,-8.06
60003,700025,GBPUSD,Buy,0.51,1795.51,1813.47,1759.6,1831.42,0,1,2026.06.21 20:17:30,2026.06.21 20:24:49,80.41
60003,700026,GBPUSD,Buy,0.36,242.7,245.13,237.85,247.55,0,0,2026.06.21 17:00:37,2026.06.21 17:11:16,47.34
60003,700027,XAUUSD,Buy,0.42,745.07,737.62,0,759.97,0,0,2026.06.21 23:52:16,2026.06.22 00:00:56,-110.93
60003,700028,GBPUSD,Buy,0.65,1324.29,1311.05,1297.8,1350.78,1,0,2026.06.21 15:43:44,2026.06.21 15:46:55,-64.04
60003,700029,GBPUSD,Sell,0.92,1262.16,1249.54,0,1287.4,0,0,2026.06.22 00:43:18,2026.06.22 01:03:59,-91.46
60003,700030,BTCUSD,Sell,0.51,1739.09,1721.7,0,1773.87,0,0,2026.06.21 21:13:25,2026.06.21 21:18:36,-113.06
60003,700031,GBPUSD,Sell,0.44,1305.98,1292.92,1279.86,1332.1,1,0,2026.06.21 16:03:50,2026.06.21 16:22:49,-61.77
60003,700032,XAUUSD,Buy,0.26,994.65,984.7,0,1014.54,0,0,2026.06.21 15:31:33,2026.06.21 15:54:23,-34.03
