Login,Ticket,Symbol,Type,Lots,Open Price,Close Price,S/L,T/P,Open Time,Close Time,Profit
70001,800001,BNBUSDT,buy,0.23,602.98,614.22,590.92,621.07,2026-07-05 11:00:00,2026-07-06 02:28:00,197.89
70001,800002,BNBUSDT,sell,0.23,584.13,592.0,572.45,601.65,2026-07-06 10:00:00,2026-07-07 03:29:00,99.96
70001,800003,BNBUSDT,buy,0.59,592.43,588.18,580.58,610.2,2026-07-07 09:00:00,2026-07-07 16:32:00,-43.73
70001,800004,BTCUSDT,buy,0.43,92705.35,94159.13,90851.25,95486.51,2026-07-08 13:00:00,2026-07-09 04:42:00,220.56
70001,800005,BNBUSDT,sell,0.51,595.02,600.21,583.12,612.87,2026-07-09 12:00:00,2026-07-10 06:28:00,182.43
70001,800006,ETHUSDT,sell,0.41,2961.83,3020.18,2902.59,3050.68,2026-07-10 12:00:00,2026-07-11 06:19:00,272.53
70001,800007,BTCUSDT,sell,0.26,97633.51,98235.35,95680.84,100562.51,2026-07-11 15:00:00,2026-07-11 19:20:00,187.57
70001,800008,SOLUSDT,sell,0.44,175.34,176.47,171.84,180.6,2026-07-12 14:00:00,2026-07-13 08:34:00,207.58
70001,800009,ETHUSDT,sell,0.46,2961.23,2993.17,2902.0,3050.06,2026-07-13 10:00:00,2026-07-14 04:12:00,298.48
70001,800010,BNBUSDT,sell,0.27,589.86,584.36,578.06,607.55,2026-07-14 09:00:00,2026-07-14 14:00:00,-49.37
70001,800011,BNBUSDT,sell,0.23,592.0,587.83,580.16,609.76,2026-07-15 15:00:00,2026-07-16 12:45:00,-75.93
70001,800012,SOLUSDT,sell,0.59,184.94,186.29,181.24,190.49,2026-07-16 17:00:00,2026-07-17 08:59:00,230.2
70001,800013,BTCUSDT,buy,0.39,93757.01,94430.66,91881.87,96569.72,2026-07-17 12:00:00,2026-07-17 23:58:00,209.61
70002,800014,BTCUSDT,buy,0.43,96697.88,95645.25,0,99598.81,2026-07-06 14:00:00,2026-07-07 03:36:00,-259.36
70002,800015,BNBUSDT,sell,0.23,585.96,594.17,574.24,603.54,2026-07-07 10:00:00,2026-07-07 14:46:00,56.73
70002,800016,ETHUSDT,sell,0.51,2936.74,2962.54,2878.0,3024.84,2026-07-08 11:00:00,2026-07-08 19:25:00,57.03
70002,800017,BNBUSDT,buy,0.26,599.42,603.19,0,617.4,2026-07-09 14:00:00,2026-07-10 00:11:00,98.81
70002,800018,SOLUSDT,sell,0.61,178.51,181.25,174.94,183.86,2026-07-10 14:00:00,2026-07-11 01:00:00,66.14
70002,800019,SOLUSDT,buy,0.55,178.44,176.95,0,183.79,2026-07-11 17:00:00,2026-07-11 21:51:00,-161.78
70002,800020,SOLUSDT,buy,0.51,183.31,180.14,0,188.8,2026-07-12 17:00:00,2026-07-12 22:19:00,-246.14
70002,800021,BTCUSDT,sell,0.38,94841.77,94092.08,92944.93,97687.02,2026-07-13 12:00:00,2026-07-13 18:46:00,-124.64
70002,800022,BNBUSDT,sell,0.68,598.92,592.89,586.94,616.89,2026-07-14 14:00:00,2026-07-14 19:52:00,-178.34
70002,800023,BNBUSDT,sell,0.6,610.16,600.25,0,628.47,2026-07-15 09:00:00,2026-07-15 17:37:00,-133.56
70002,800024,BNBUSDT,sell,0.24,596.45,585.0,0,614.34,2026-07-16 11:00:00,2026-07-16 20:54:00,-271.39
70002,800025,BTCUSDT,buy,0.28,95635.97,94302.99,0,98505.05,2026-07-17 11:00:00,2026-07-17 15:29:00,-264.78
70003,800026,ETHUSDT,buy,0.31,3004.78,3061.89,2944.69,3094.93,2026-07-04 11:00:00,2026-07-05 04:00:00,339.81
70003,800027,ETHUSDT,buy,0.32,2953.3,2994.04,2894.23,3041.9,2026-07-06 15:00:00,2026-07-08 11:12:00,163.83
70003,800028,ETHUSDT,buy,0.94,3029.25,3081.43,2968.66,3120.12,2026-07-08 12:00:00,2026-07-10 05:16:00,206.14
70003,800029,ETHUSDT,buy,0.67,3049.77,3092.86,2988.78,3141.26,2026-07-10 15:00:00,2026-07-12 07:02:00,105.61
70003,800030,ETHUSDT,buy,0.63,2921.12,2876.61,2862.69,3008.75,2026-07-12 10:00:00,2026-07-14 09:59:00,-167.02
70003,800031,ETHUSDT,buy,0.47,3001.39,3041.68,2941.36,3091.43,2026-07-14 12:00:00,2026-07-15 04:40:00,183.08
70003,800032,BTCUSDT,sell,0.73,93286.6,92432.3,91420.87,96085.2,2026-07-16 09:00:00,2026-07-18 05:57:00,-140.67
70004,800033,BNBUSDT,buy,0.41,615.22,626.53,0,633.68,2026-07-08 17:00:00,2026-07-08 20:42:00,69.13
70004,800034,BNBUSDT,buy,0.32,590.66,587.06,578.85,608.38,2026-07-09 12:00:00,2026-07-09 19:13:00,-51.91
70004,800035,ETHUSDT,buy,0.48,3068.91,3128.79,3007.53,3160.98,2026-07-10 13:00:00,2026-07-10 16:39:00,10.86
70004,800036,ETHUSDT,sell,0.47,2939.06,2905.34,0,3027.24,2026-07-11 12:00:00,2026-07-11 15:24:00,-109.3
70004,800037,BNBUSDT,sell,0.33,582.7,574.95,571.05,600.18,2026-07-12 17:00:00,2026-07-12 21:37:00,-60.85
70004,800038,ETHUSDT,sell,0.3,2930.31,2985.34,0,3018.22,2026-07-13 16:00:00,2026-07-13 18:02:00,5.98
70004,800039,ETHUSDT,buy,0.28,3046.04,2993.35,0,3137.42,2026-07-14 12:00:00,2026-07-14 15:48:00,-140.1
70004,800040,BNBUSDT,buy,0.36,585.22,581.79,0,602.78,2026-07-15 13:00:00,2026-07-15 17:17:00,-21.3
70004,800041,BNBUSDT,buy,0.28,585.01,574.58,573.31,602.57,2026-07-16 11:00:00,2026-07-16 14:43:00,-145.79
70004,800042,SOLUSDT,buy,0.34,184.49,181.84,0,190.02,2026-07-17 10:00:00,2026-07-17 19:24:00,-65.21
70005,800043,ETHUSDT,buy,0.39,2919.07,2942.5,2860.69,3006.64,2026-07-10 09:00:00,2026-07-10 15:28:00,75.69
70005,800044,ETHUSDT,sell,0.31,3000.02,2977.01,2940.02,3090.02,2026-07-11 13:00:00,2026-07-11 22:36:00,-31.18
70005,800045,ETHUSDT,buy,0.4,3041.95,3001.6,2981.12,3133.21,2026-07-12 14:00:00,2026-07-12 16:18:00,-54.83
70005,800046,ETHUSDT,sell,0.25,3028.17,3068.11,2967.61,3119.02,2026-07-13 12:00:00,2026-07-13 21:22:00,2.59
70005,800047,ETHUSDT,sell,0.34,2945.75,2999.45,2886.84,3034.12,2026-07-14 15:00:00,2026-07-14 22:50:00,77.54
70005,800048,ETHUSDT,sell,0.4,2912.57,2954.45,2854.31,2999.94,2026-07-15 11:00:00,2026-07-15 15:12:00,77.46
70005,800049,ETHUSDT,sell,0.23,3066.7,3020.52,3005.36,3158.7,2026-07-16 13:00:00,2026-07-16 21:30:00,-48.17
70005,800050,ETHUSDT,buy,0.34,2938.36,2904.01,2879.59,3026.51,2026-07-17 13:00:00,2026-07-17 18:09:00,-53.67
70006,800051,ETHUSDT,sell,1.47,2949.22,2926.38,2890.23,3037.69,2026-07-09 13:00:00,2026-07-09 16:38:00,-464.12
70006,800052,ETHUSDT,buy,0.97,3049.72,3030.32,2988.73,3141.21,2026-07-10 14:00:00,2026-07-10 19:18:00,-450.83
70006,800053,BTCUSDT,sell,1.09,93477.01,92188.55,91607.47,96281.32,2026-07-11 10:00:00,2026-07-11 16:22:00,-418.19
70006,800054,BTCUSDT,sell,1.26,96277.69,94867.38,0,99166.02,2026-07-12 17:00:00,2026-07-12 20:25:00,-516.2
70006,800055,ETHUSDT,buy,1.41,3058.75,3016.66,0,3150.52,2026-07-13 09:00:00,2026-07-13 10:08:00,-525.86
70006,800056,BTCUSDT,buy,0.54,96914.18,95617.67,0,99821.61,2026-07-14 12:00:00,2026-07-14 16:12:00,-491.14
70006,800057,BTCUSDT,sell,0.76,97267.79,96647.3,95322.43,100185.82,2026-07-15 09:00:00,2026-07-15 14:17:00,-437.08
70006,800058,BTCUSDT,sell,0.75,93465.2,92086.68,91595.89,96269.15,2026-07-16 17:00:00,2026-07-16 19:45:00,-322.33
70006,800059,ETHUSDT,sell,0.58,3021.06,2976.82,2960.63,3111.69,2026-07-17 16:00:00,2026-07-17 17:23:00,-573.14
70006,800060,BTCUSDT,buy,1.5,92591.59,91923.88,0,95369.34,2026-07-15 21:00:00,2026-07-15 23:00:00,-1900.0
